Tue, Aug 31, 2021
3:01:36 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
96.0650000	4706.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0005706	-0.0005233	0.0007510	0.0013087	-0.0011179	-0.0012332	-0.0013762	-0.0006078
97.4600000	122.2200012	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0005577	-0.0005539	-0.0002702	0.0002217	-0.0009412	-0.0010069	-0.0003523	0.0002704
98.7450000	-4511.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0004751	-0.0004813	-0.0012642	-0.0007820	-0.0010609	-0.0011211	0.0006363	0.0013415
100.4200000	4705.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0005391	-0.0004894	0.0007563	0.0012904	-0.0011309	-0.0012464	-0.0013884	-0.0006250
101.8200000	122.0100021	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0005393	-0.0005323	-0.0002660	0.0002134	-0.0009542	-0.0010211	-0.0003584	0.0002672
103.0550000	-4519.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0004449	-0.0004476	-0.0012660	-0.0007981	-0.0010740	-0.0011361	0.0006395	0.0013441
104.6700000	4704.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0005062	-0.0004509	0.0007647	0.0012875	-0.0011365	-0.0012554	-0.0013918	-0.0006275
106.0350000	122.3600006	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0005184	-0.0005054	-0.0002624	0.0002095	-0.0009640	-0.0010326	-0.0003562	0.0002702
107.4450000	-4516.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0004198	-0.0004117	-0.0012618	-0.0008101	-0.0010890	-0.0011497	0.0006381	0.0013426
108.9800000	4701.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0004756	-0.0004114	0.0007738	0.0012742	-0.0011460	-0.0012695	-0.0013981	-0.0006346
110.2450000	122.0899963	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0004982	-0.0004861	-0.0002621	0.0002008	-0.0009832	-0.0010522	-0.0003638	0.0002713
111.5150000	-4513.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003960	-0.0003856	-0.0012617	-0.0008288	-0.0011075	-0.0011699	0.0006389	0.0013438
113.0600000	4700.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0004461	-0.0003752	0.0007838	0.0012624	-0.0011571	-0.0012866	-0.0014037	-0.0006478
114.3550000	121.9899979	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0004741	-0.0004562	-0.0002561	0.0001953	-0.0009942	-0.0010648	-0.0003638	0.0002714
115.6000000	-4510.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003642	-0.0003491	-0.0012573	-0.0008380	-0.0011200	-0.0011910	0.0006384	0.0013453
117.1650000	4697.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0004144	-0.0003405	0.0007887	0.0012535	-0.0011687	-0.0012993	-0.0014137	-0.0006587
118.6000000	122.1399994	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0004448	-0.0004231	-0.0002515	0.0001881	-0.0010025	-0.0010793	-0.0003684	0.0002649
120.0350000	-4511.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003314	-0.0003102	-0.0012599	-0.0008608	-0.0011333	-0.0012089	0.0006402	0.0013372
121.7450000	4696.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003714	-0.0002939	0.0007970	0.0012348	-0.0011811	-0.0013176	-0.0014225	-0.0006655
123.0150000	122.0899963	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0004172	-0.0003915	-0.0002464	0.0001774	-0.0010140	-0.0010961	-0.0003707	0.0002675
124.2850000	-4508.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0002950	-0.0002726	-0.0012533	-0.0008724	-0.0011509	-0.0012318	0.0006350	0.0013436
125.8700000	4694.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003357	-0.0002532	0.0008077	0.0012252	-0.0011913	-0.0013312	-0.0014262	-0.0006808
127.2850000	121.9499969	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003875	-0.0003566	-0.0002464	0.0001622	-0.0010272	-0.0011143	-0.0003749	0.0002615
128.5400000	-4506.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0002575	-0.0002323	-0.0012554	-0.0008921	-0.0011638	-0.0012523	0.0006344	0.0013396
130.1250000	4693.0000000	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0002961	-0.0002093	0.0008108	0.0012074	-0.0012043	-0.0013543	-0.0014405	-0.0006911
131.4400000	121.9700012	0.0000010	0.0000010	0.0000010	0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0000010	-0.0003565	-0.0003222	-0.0002428	0.0001525	-0.0010388	-0.0011313	-0.0003817	0.0002587
