Wed, Sep 01, 2021
3:26:49 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
95.9800000	4712.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0252602	0.0324612	0.1052534	0.0959042	-0.0253166	-0.0332855	-0.1067641	-0.0965439
97.2800000	122.0999985	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0173626	0.0201149	0.0032733	-0.0025863	-0.0174304	-0.0208180	-0.0043460	0.0018905
98.5550000	-4524.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0270686	0.0291680	-0.0962339	-0.1062410	-0.0270895	-0.0299419	0.0952708	0.1057588
100.2500000	4710.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0271168	0.0347375	0.1060245	0.0959644	-0.0272044	-0.0355750	-0.1075416	-0.0965774
101.5250000	122.1299973	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0188540	0.0218751	0.0035600	-0.0028294	-0.0189368	-0.0225902	-0.0046187	0.0021541
102.7950000	-4522.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0290365	0.0314524	-0.0962377	-0.1069537	-0.0290790	-0.0322539	0.0953014	0.1065218
104.4300000	4708.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0290724	0.0371086	0.1067598	0.0959857	-0.0292029	-0.0379666	-0.1082992	-0.0965837
105.7150000	121.8799973	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0204138	0.0237153	0.0038334	-0.0030984	-0.0205208	-0.0244481	-0.0049012	0.0024368
106.9650000	-4520.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0310687	0.0338287	-0.0962257	-0.1076905	-0.0311300	-0.0346567	0.0953159	0.1072928
108.6050000	4707.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0311482	0.0396089	0.1075152	0.0959928	-0.0312900	-0.0404669	-0.1090767	-0.0965739
109.9250000	122.1999969	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0220775	0.0256818	0.0041506	-0.0033787	-0.0222093	-0.0264421	-0.0052130	0.0027375
111.1950000	-4518.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0332317	0.0363578	-0.0961974	-0.1084642	-0.0333148	-0.0372177	0.0953140	0.1080865
112.7800000	4705.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0333032	0.0422042	0.1082803	0.0959720	-0.0334822	-0.0430954	-0.1098777	-0.0965514
114.1950000	121.9800034	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0238773	0.0278160	0.0044757	-0.0037021	-0.0240273	-0.0285910	-0.0055441	0.0030617
115.5000000	-4517.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0355262	0.0390467	-0.0961486	-0.1092704	-0.0356361	-0.0399316	0.0952943	0.1089110
117.0300000	4704.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0356031	0.0449647	0.1090799	0.0959372	-0.0358046	-0.0458731	-0.1107130	-0.0965016
118.3200000	121.8799973	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0257528	0.0300309	0.0048225	-0.0040309	-0.0259114	-0.0308131	-0.0058907	0.0034017
119.6100000	-4515.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0378228	0.0417401	-0.0960713	-0.1100547	-0.0379508	-0.0426490	0.0952557	0.1097322
121.2350000	4702.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0379924	0.0478321	0.1098851	0.0958816	-0.0382112	-0.0487634	-0.1115625	-0.0964230
122.5150000	122.0800018	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0277487	0.0323900	0.0051952	-0.0043826	-0.0279280	-0.0331999	-0.0062778	0.0037557
123.8550000	-4514.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0402985	0.0446559	-0.0959751	-0.1108941	-0.0404610	-0.0455998	0.0951847	0.1105950
125.5450000	4701.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0405384	0.0508940	0.1107330	0.0957983	-0.0407795	-0.0518479	-0.1124650	-0.0963167
126.8150000	122.0599976	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0299094	0.0349536	0.0055987	-0.0047686	-0.0301027	-0.0357729	-0.0066816	0.0041568
128.0900000	-4513.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0428907	0.0476981	-0.0958408	-0.1117492	-0.0430619	-0.0486678	0.0950977	0.1114833
129.7600000	4700.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0431228	0.0540022	0.1115789	0.0956909	-0.0433841	-0.0549825	-0.1133603	-0.0961791
131.0500000	121.9400024	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0321401	0.0375937	0.0060186	-0.0051711	-0.0323467	-0.0384362	-0.0071066	0.0045717
132.3100000	-4511.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0455413	0.0508301	-0.0956853	-0.1126130	-0.0457350	-0.0518275	0.0949767	0.1123881
133.8600000	4699.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0457465	0.0571575	0.1124236	0.0955610	-0.0460249	-0.0581665	-0.1142654	-0.0960180
135.1250000	121.8799973	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0344000	0.0402815	0.0064507	-0.0055837	-0.0346305	-0.0411526	-0.0075401	0.0050138
136.4150000	-4511.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0482271	0.0540029	-0.0955107	-0.1134892	-0.0484468	-0.0550432	0.0948413	0.1133071
138.0050000	4698.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0484619	0.0604386	0.1132879	0.0954079	-0.0487665	-0.0614844	-0.1152031	-0.0958360
139.2800000	121.8000031	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0368058	0.0431478	0.0069117	-0.0060354	-0.0370650	-0.0440558	-0.0080109	0.0054815
140.6050000	-4509.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0510458	0.0573377	-0.0953077	-0.1144003	-0.0512900	-0.0584222	0.0946818	0.1142762
