Thu, Sep 02, 2021
3:00:14 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
96.0300000	4700.0000000	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.1255336	0.1628742	0.5260997	0.4807647	-0.1262173	-0.1652630	-0.5328127	-0.4805471
97.2850000	121.9599991	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.0864264	0.1010623	0.0180861	-0.0112272	-0.0870608	-0.1028530	-0.0197553	0.0109796
98.5950000	-4511.0000000	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.1350626	0.1466160	-0.4783676	-0.5272508	-0.1356128	-0.1495437	0.4785270	0.5314829
100.2600000	4700.0000000	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.1354188	0.1748472	0.5300536	0.4810757	-0.1362229	-0.1775163	-0.5371385	-0.4806127
101.6700000	121.6999969	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.0944109	0.1105090	0.0195567	-0.0126450	-0.0951517	-0.1124875	-0.0213135	0.0125042
102.9150000	-4510.0000000	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.1455246	0.1588652	-0.4784836	-0.5311482	-0.1461638	-0.1619825	0.4787602	0.5357627
104.4700000	4698.0000000	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.1458431	0.1873240	0.5339267	0.4811745	-0.1466860	-0.1903135	-0.5414445	-0.4805905
105.7450000	121.7600021	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.1024232	0.1199459	0.0210522	-0.0140375	-0.1031937	-0.1220781	-0.0229151	0.0140000
107.1300000	-4508.0000000	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.1561689	0.1713585	-0.4784676	-0.5349863	-0.1569723	-0.1748007	0.4788123	0.5400633
108.6850000	4696.0000000	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.1567375	0.2003382	0.5378368	0.4811417	-0.1575978	-0.2037163	-0.5458698	-0.4804175
109.9650000	121.8300018	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.1111516	0.1302501	0.0226932	-0.0155585	-0.1119823	-0.1325868	-0.0246809	0.0156599
111.3650000	-4507.0000000	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.1673606	0.1845003	-0.4783451	-0.5388715	-0.1682879	-0.1882801	0.4786866	0.5444741
112.9150000	4695.0000000	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.1681297	0.2139454	0.5417993	0.4809666	-0.1689951	-0.2177759	-0.5504479	-0.4800805
114.2450000	121.6399994	0.0005001	0.0005001	0.0005001	0.0005001	-0.0005001	-0.0005001	-0.0005001	-0.0005001	0.1204855	0.1412810	0.0244049	-0.0172398	-0.1213916	-0.1438460	-0.0265396	0.0174872
115.5150000	-4505.0000000	0.0005001	0.0005001	0.0005001	0.0004952	-0.0005001	-0.0005001	-0.0005001	-0.0004922	0.1787907	0.1979011	-0.4780901	-0.5369193	-0.1797945	-0.2020510	0.4784193	0.5396228
117.1850000	4694.0000000	0.0005001	0.0005001	0.0005001	0.0004822	-0.0005001	-0.0005001	-0.0005001	-0.0004813	0.1800776	0.2282200	0.5458156	0.4628102	-0.1809747	-0.2325935	-0.5551856	-0.4609982
